"id,",score,round,plays,discards,action_history_length,nodes_expanded,runtime,win
0,1427,10,27,28,222,2220000,2924.5964,False
1,3649,11,19,26,190,1900000,2873.5102,False
2,5226,11,21,26,187,1870000,2639.8363,False
3,7818,13,29,37,271,2710000,3563.4856,False
4,1394,12,28,40,267,2670000,3489.5224,False
5,817,13,35,41,333,3330000,3861.5551,False
6,321,11,16,22,157,1570000,2974.3193,False
7,1537,11,22,21,189,1890000,2913.1945,False
8,763,12,23,32,219,2190000,3431.7793,False
9,1547,8,13,26,166,1660000,2118.6795,False
10,2620,10,22,37,226,2260000,3983.3938,False
11,2811,10,27,31,232,2320000,3200.3146,False
12,189,13,30,45,304,3040000,3863.0026,False
13,2679,11,24,25,212,2120000,2587.4231,False
14,386,12,26,27,226,2260000,2740.2106,False
15,2081,10,24,27,221,2210000,3090.9049,False
16,682,10,22,37,242,2420000,3127.508,False
17,72,12,21,24,190,1900000,2909.9392,False
18,2216,10,32,39,282,2820000,3349.7412,False
19,102,9,16,25,183,1830000,2153.2089,False
20,401,10,23,33,226,2260000,2661.8541,False
21,629,9,22,25,187,1870000,2668.9542,False
22,2505,10,25,25,206,2060000,2985.6326,False
23,1123,9,23,31,221,2210000,2617.2218,False
24,2570,10,21,28,200,2000000,3002.685,False
25,1374,12,26,27,190,1900000,3598.2241,False
26,884,10,23,29,219,2190000,2999.4403,False
27,1711,10,27,38,259,2590000,3381.9424,False
28,2339,10,24,30,216,2160000,2669.2054,False
29,650,12,21,24,186,1860000,2737.5996,False
30,94,9,27,36,248,2480000,2956.2127,False
31,1757,10,19,24,188,1880000,2770.6859,False
32,1092,11,21,35,239,2390000,3386.1021,False
33,51,12,28,28,217,2170000,3272.7342,False
34,697,11,21,24,183,1830000,3252.7409,False
35,905,8,25,34,255,2550000,2760.1509,False
36,100,10,27,44,286,2860000,3108.949,False
37,16685,14,22,34,233,2330000,3954.7473,False
38,2926,10,26,33,236,2360000,2971.4578,False
39,535,12,27,31,222,2220000,2983.6004,False
40,3069,10,23,34,255,2550000,2905.5189,False
41,1201,11,21,29,210,2100000,2963.7486,False
42,708,13,30,41,310,3100000,4068.6743,False
43,1263,12,32,37,267,2670000,3385.4951,False
44,2434,8,23,25,199,1990000,2694.157,False
45,384,13,25,48,313,3130000,3802.9675,False
46,8312,13,27,30,243,2430000,3418.5615,False
47,2069,10,21,36,205,2050000,3303.122,False
48,4762,12,24,31,216,2160000,3407.0705,False
49,1184,10,25,40,259,2590000,3409.6369,False
50,1003,13,22,33,245,2450000,3188.6637,False
51,1670,10,23,22,192,1920000,2533.2449,False
52,88,1,8,8,47,470000,518.6758,False
53,1704,11,27,29,227,2270000,3194.9392,False
54,542,9,18,27,187,1870000,2317.6055,False
55,1602,10,20,26,207,2070000,2734.4072,False
56,1863,11,25,33,233,2330000,3548.36,False
57,438,11,24,29,214,2140000,2952.8915,False
58,2117,13,29,37,252,2520000,3679.2389,False
59,1490,11,22,30,228,2280000,2806.0953,False
60,3578,11,25,32,231,2310000,3427.7763,False
61,2972,10,19,21,175,1750000,2352.0217,False
62,271,10,27,32,235,2350000,3187.1796,False
63,2326,11,23,28,214,2140000,2899.7337,False
64,1968,10,26,33,235,2350000,3097.7057,False
65,4264,13,25,42,273,2730000,3894.1008,False
66,2379,10,16,25,180,1800000,2484.1613,False
67,191,11,24,33,252,2520000,3208.5421,False
68,806,9,24,26,213,2130000,2804.7244,False
69,2548,9,19,37,210,2100000,2562.8743,False
70,748,15,32,41,299,2990000,4089.375,False
71,2581,12,30,45,320,3200000,3845.9447,False
72,7091,11,17,25,179,1790000,2594.3933,False
73,1218,12,22,35,219,2190000,3613.7843,False
74,233,13,26,39,254,2540000,3195.6808,False
75,1378,11,24,33,235,2350000,3698.5637,False
76,320,9,19,29,196,1960000,2613.7044,False
77,3566,10,25,37,245,2450000,2605.2719,False
78,5582,11,27,24,226,2260000,3194.8511,False
79,875,11,35,47,333,3330000,3607.1804,False
80,1394,10,20,25,197,1970000,2540.5067,False
81,7554,11,16,21,167,1670000,2677.4835,False
82,4224,11,23,39,250,2500000,3146.2749,False
83,239,12,24,27,204,2040000,2871.7248,False
84,1278,8,15,18,143,1430000,1950.2356,False
85,5510,11,24,29,227,2270000,2803.3382,False
86,4180,11,20,18,180,1800000,2329.7613,False
87,88,2,12,12,88,880000,1151.301,False
88,2690,11,27,36,254,2540000,3044.3874,False
89,3324,9,22,26,182,1820000,2894.3362,False
90,1819,8,17,20,159,1590000,1873.6568,False
91,1682,12,24,38,261,2610000,3094.1683,False
92,1521,11,29,39,278,2780000,3293.7848,False
93,2194,10,20,29,193,1930000,2612.943,False
94,1467,11,22,26,194,1940000,2891.8013,False
95,1446,10,23,34,235,2350000,2806.6082,False
96,408,11,27,36,257,2570000,3220.8689,False
97,8115,13,27,29,218,2180000,3408.5079,False
98,3390,13,34,49,346,3460000,3585.131,False
99,280,12,23,32,230,2300000,3001.7077,False
